game_str,play_id,safe,advanced
y1_d001_CGA_QEA,21,True,False
y1_d001_CGA_QEA,26,False,False
y1_d001_CGA_QEA,136,False,False
y1_d001_CGA_QEA,138,False,False
y1_d001_CGA_QEA,141,False,False
y1_d001_CGA_QEA,152,False,False
y1_d001_CGA_QEA,205,False,False
y1_d001_CGA_QEA,218,False,False
y1_d001_CGA_QEA,220,False,False
y1_d001_CGA_QEA,225,False,False
y1_d001_CGA_QEA,236,False,False
y1_d001_CGA_QEA,252,False,False
y1_d001_CGA_QEA,255,False,False
y1_d001_CGA_QEA,311,False,False
y1_d002_CGA_QEA,7,False,False
y1_d002_CGA_QEA,11,False,False
y1_d002_CGA_QEA,30,False,False
y1_d002_CGA_QEA,31,False,False
y1_d002_CGA_QEA,35,False,False
y1_d002_CGA_QEA,49,False,False
y1_d002_CGA_QEA,124,False,False
y1_d002_CGA_QEA,128,False,False
y1_d002_CGA_QEA,142,True,False
y1_d002_CGA_QEA,145,False,False
y1_d002_CGA_QEA,176,False,False
y1_d002_CGA_QEA,227,False,False
y1_d002_CGA_QEA,232,True,False
y1_d002_CGA_QEA,254,False,False
y1_d003_CGA_QEA,5,False,False
y1_d003_CGA_QEA,12,False,False
y1_d003_CGA_QEA,14,False,False
y1_d003_CGA_QEA,54,False,False
y1_d003_CGA_QEA,63,False,False
y1_d003_CGA_QEA,81,False,False
y1_d003_CGA_QEA,105,False,False
y1_d003_CGA_QEA,124,False,False
y1_d003_CGA_QEA,133,False,False
y1_d003_CGA_QEA,139,False,False
y1_d003_CGA_QEA,145,False,False
y1_d003_CGA_QEA,152,False,False
y1_d003_CGA_QEA,166,True,False
y1_d003_CGA_QEA,169,False,False
y1_d003_CGA_QEA,189,False,False
y1_d003_CGA_QEA,249,False,False
y1_d003_CGA_QEA,254,False,False
y1_d004_CGA_QEA,4,False,False
y1_d004_CGA_QEA,50,False,False
y1_d004_CGA_QEA,56,False,False
y1_d004_CGA_QEA,81,False,False
y1_d004_CGA_QEA,86,True,False
y1_d004_CGA_QEA,112,False,False
y1_d004_CGA_QEA,126,False,False
y1_d004_CGA_QEA,195,False,False
y1_d004_CGA_QEA,200,False,False
y1_d004_CGA_QEA,234,False,False
y1_d004_CGA_QEA,241,False,False
y1_d004_CGA_QEA,249,False,False
y1_d004_CGA_QEA,307,False,False
y1_d005_JJS_YJD,8,True,False
y1_d005_JJS_YJD,10,False,False
y1_d005_JJS_YJD,11,False,False
y1_d005_JJS_YJD,16,False,False
y1_d005_JJS_YJD,23,False,False
y1_d005_JJS_YJD,51,False,False
y1_d005_JJS_YJD,64,False,False
y1_d005_JJS_YJD,96,False,False
y1_d005_JJS_YJD,119,False,False
y1_d005_JJS_YJD,152,False,False
y1_d005_JJS_YJD,153,False,False
y1_d005_JJS_YJD,160,False,False
y1_d005_JJS_YJD,193,False,False
y1_d006_JJS_YJD,13,False,False
y1_d006_JJS_YJD,65,False,False
y1_d006_JJS_YJD,109,False,False
y1_d006_JJS_YJD,136,True,False
y1_d006_JJS_YJD,150,False,False
y1_d006_JJS_YJD,202,False,False
y1_d006_JJS_YJD,208,True,False
y1_d006_JJS_YJD,230,False,False
y1_d006_JJS_YJD,236,False,False
y1_d006_JJS_YJD,248,False,False
y1_d006_JJS_YJD,291,False,False
y1_d006_MCJ_RZQ,12,False,False
y1_d006_MCJ_RZQ,26,False,False
y1_d006_MCJ_RZQ,63,False,False
y1_d006_MCJ_RZQ,77,True,False
y1_d006_MCJ_RZQ,136,False,False
y1_d006_MCJ_RZQ,138,False,False
y1_d006_MCJ_RZQ,235,False,False
y1_d006_MCJ_RZQ,244,False,False
y1_d006_MCJ_RZQ,256,False,False
y1_d006_MCJ_RZQ,288,False,False
y1_d006_MCJ_RZQ,307,True,False
y1_d007_JJS_YJD,74,False,False
y1_d007_JJS_YJD,133,True,False
y1_d007_JJS_YJD,154,True,False
y1_d007_JJS_YJD,171,False,False
y1_d007_JJS_YJD,213,False,False
y1_d007_JJS_YJD,224,False,False
y1_d007_JJS_YJD,235,False,False
y1_d007_JJS_YJD,262,False,False
y1_d007_JJS_YJD,278,False,False
y1_d007_JJS_YJD,290,False,False
y1_d007_MCJ_RZQ,15,False,False
y1_d007_MCJ_RZQ,60,False,False
y1_d007_MCJ_RZQ,108,False,False
y1_d007_MCJ_RZQ,118,True,False
y1_d007_MCJ_RZQ,122,False,False
y1_d007_MCJ_RZQ,124,False,False
y1_d007_MCJ_RZQ,149,False,False
y1_d007_MCJ_RZQ,187,False,False
y1_d007_MCJ_RZQ,189,False,False
y1_d007_MCJ_RZQ,233,False,False
y1_d008_JJS_YJD,9,False,False
y1_d008_JJS_YJD,21,False,False
y1_d008_JJS_YJD,40,False,False
y1_d008_JJS_YJD,90,False,False
y1_d008_JJS_YJD,112,False,False
y1_d008_JJS_YJD,121,False,False
y1_d008_JJS_YJD,141,False,False
y1_d008_JJS_YJD,221,False,False
y1_d008_MCJ_RZQ,33,False,False
y1_d008_MCJ_RZQ,47,False,False
y1_d008_MCJ_RZQ,51,True,False
y1_d008_MCJ_RZQ,57,False,False
y1_d008_MCJ_RZQ,75,False,False
y1_d008_MCJ_RZQ,140,False,False
y1_d008_MCJ_RZQ,163,False,False
y1_d008_MCJ_RZQ,169,False,False
y1_d008_MCJ_RZQ,192,False,False
y1_d008_MCJ_RZQ,221,False,False
y1_d008_MCJ_RZQ,252,False,False
y1_d008_MCJ_RZQ,291,False,False
y1_d009_GEA_YJD,3,False,False
y1_d009_GEA_YJD,9,False,False
y1_d009_GEA_YJD,10,False,False
y1_d009_GEA_YJD,40,False,False
y1_d009_GEA_YJD,85,False,False
y1_d009_GEA_YJD,158,False,False
y1_d009_GEA_YJD,169,False,False
y1_d009_GEA_YJD,175,False,False
y1_d009_GEA_YJD,235,True,False
y1_d009_GEA_YJD,236,False,False
y1_d009_GEA_YJD,238,False,False
y1_d009_GEA_YJD,243,False,False
y1_d009_GEA_YJD,247,False,False
y1_d009_GEA_YJD,255,False,False
y1_d010_DYE_RZQ,29,False,False
y1_d010_DYE_RZQ,39,False,False
y1_d010_DYE_RZQ,81,False,False
y1_d010_DYE_RZQ,98,False,False
y1_d010_DYE_RZQ,155,False,False
